url_name,vol_30_day_usd,name
binance,1000000000000,Binance
coinbase,158236261277,Coinbase
bitforex,806675656,Bitforex
kraken,48860140725,Kraken
okx,154177932717,Okx
kucoin,73781966371,Kucoin
gateio,70682508348,Gateio
htx,72878103006,Htx
bitfinex,18130147880,Bitfinex
bitstamp,13051264172,Bitstamp
p2b,84220746861,P2B
digifinex,82660643882,Digifinex
bitmart,61954435000,Bitmart
whitebit,76787055972,Whitebit
bitget,89583467037,Bitget
bitrue,121239829304,Bitrue
lbank,73484306425,Lbank
deepcoin,52013017345,Deepcoin
toobit,42192793569,Toobit
xt,41870045536,Xt
