month,coin_name,month_change
2024-02-01,btc-bitcoin,42.32
2024-02-01,eth-ethereum,45.24
2024-02-01,usdt-tether,0.13
2024-02-01,bnb-binance-coin,33.21
2024-02-01,sol-solana,28.49
2024-02-01,xrp-xrp,15.87
2024-02-01,steth-lido-staked-ether,44.89
2024-02-01,usdc-usd-coin,0.02
2024-02-01,ada-cardano,28.92
2024-02-01,doge-dogecoin,47.49
2024-02-01,avax-avalanche,20.97
2024-02-01,shib-shiba-inu,39.11
2024-02-01,weth-weth,45.52
2024-02-01,trx-tron,21.61
2024-02-01,link-chainlink,12.3
2024-02-01,dot-polkadot,21.57
2024-02-01,matic-polygon,23.39
2024-02-01,wbtc-wrapped-bitcoin,42.62
2024-02-01,bch-bitcoin-cash,25.91
2024-02-01,uni-uniswap,83.89
2024-02-01,ltc-litecoin,18.39
2024-02-01,icp-internet-computer,8.26
2024-02-01,dai-dai,-0.08
2024-02-01,etc-ethereum-classic,18.39
2024-02-01,atom-cosmos,23.52
2024-02-01,fil-filecoin,63.53
2024-02-01,btcb-binance-bitcoin,42.48
2024-02-01,apt-aptos,27.03
2024-02-01,leo-leo-token,18.95
2024-02-01,near-near-protocol,35.58
2024-02-01,imx-immutable-x,56.65
2024-02-01,stx-stacks,93.44
2024-02-01,tao-bittensor,38.04
2024-02-01,inj-injective-protocol,20.87
2024-02-01,toncoin-the-open-network,19.81
2024-02-01,op-optimism,24.45
2024-02-01,hbar-hedera-hashgraph,62.93
2024-02-01,kas-kaspa,69.41
2024-02-01,xlm-stellar,11.2
2024-02-01,vet-vechain,67.71
2024-02-01,cro-cryptocom-chain,34.15
2024-02-01,fdusd-first-digital-usd,-0.17
2024-02-01,okb-okb,5.96
2024-02-01,ldo-lido-dao,19.08
2024-02-01,grt-the-graph,82.09
2024-02-01,mnt-mantle,52.21
2024-02-01,rndr-render-token,63.78
2024-02-01,tia-celestia,-2.21
2024-02-01,xmr-monero,-17.22
2024-02-01,arb-arbitrum,9.04
2024-02-01,pls-pulsechain,23.75
2024-02-01,reth-rocket-pool-eth,45.7
2024-02-01,bsv-bitcoin-sv,15.34
2024-02-01,sui-sui,9.77
2024-02-01,theta-theta-token,88.36
2024-02-01,mkr-maker,5.16
2024-02-01,rune-thorchain,25.4
2024-02-01,algo-algorand,33.41
2024-02-01,pepe-pepe,199.06
2024-02-01,beam-beam-eth,88.25
2024-02-01,ordi-ordinals,22.33
2024-02-01,egld-elrond,12.66
2024-02-01,ar-arweave,217.5
2024-02-01,aave-new,26.18
2024-02-01,bonk-bonk,106.24
2024-02-01,hex-hex-from-pulsechain,8.9
2024-02-01,flr-flare-network,105.52
2024-02-01,sei-sei,29.78
2024-02-01,sand-the-sandbox,37.77
2024-02-01,qnt-quant,11.09
2024-02-01,mina-mina-protocol,5.82
2024-02-01,ftm-fantom,30.15
2024-02-01,hnt-helium,24.89
2024-02-01,snx-synthetix-network-token,32.67
2024-02-01,chz-chiliz,36.38
2024-02-01,ape-apecoin,26.76
2024-02-01,axs-axie-infinity,36.18
2024-02-01,bttc-bittorrent-chain,53.42
2024-02-01,fetch-ai,170.07
2024-02-01,strk-starknet,-10.37
2024-02-01,xtz-tezos,25.8
2024-02-01,plsx-pulsex,13.94
2024-02-01,mana-decentraland,50.65
2024-02-01,bgb-bitget-token,55.18
2024-02-01,tusd-trueusd,1.25
2024-02-01,gala-gala,82.8
2024-02-01,flow-flow,45.84
2024-02-01,kcs-kucoin-token,19.14
2024-02-01,ico-axelar,65.97
2024-02-01,luna-terra,46.55
2024-02-01,neo-neo,27.58
2024-02-01,floki-floki-inu,90.89
2024-02-01,wpls-wrapped-pulse,18.04
2024-02-01,wbt-whitebit,19.76
2024-02-01,agix-singularitynet,166.21
2024-02-01,wld-worldcoin,221.83
2024-02-01,klay-klaytn,27.09
2024-02-01,akt-akash-network,76.79
2024-02-01,rose-oasis-network,46.89
2024-02-01,blur-blur,17.44
2024-02-01,cfx-conflux-network,23.85
2024-02-01,gno-gnosis,80.67
2024-02-01,kava-kava,20.13
2024-02-01,pyth-pyth-network,40.49
2024-02-01,eos-eos,22.51
2024-02-01,jasmy-jasmycoin,306.76
2024-02-01,woo-wootrade,50.88
2024-02-01,cheelee-cheelee,16.29
2024-02-01,astr-astar,-12.42
2024-02-01,hex-hex,16.27
2024-02-01,xec-ecash,21.62
2024-02-01,dym-dymension-iou,22.1
2024-02-01,miota-iota,19.65
2024-02-01,wbnb-wrapped-bnb,33.35
2024-02-01,msol-marinade-staked-sol,28.97
2024-02-01,osmo-osmosis,-2.2
2024-02-01,ron-ronin-token,-4.42
2024-02-01,pendle-pendle,24.11
2024-02-01,jup-jupiter-exchange-token,-8.67
2024-02-01,cake-pancakeswap,25.9
2024-02-01,nexo-nexo,55.51
2024-02-01,crv-curve-dao-token,34.28
2024-02-01,usdd-usdd,0.74
2024-02-01,rbn-ribbon-finance,66.4
2024-02-01,manta-manta-network,-12.31
2024-02-01,cbeth-coinbase-wrapped-staked-eth,45.37
2024-02-01,fxs-frax-share,-8.88
2024-02-01,ftt-ftx-token,-5.11
2024-02-01,ckb-nervos-network,265.41
2024-02-01,super-superfarm,103.95
2024-02-01,ens-ethereum-name-service,19.57
2024-02-01,enj-enjin-coin,49.22
2024-02-01,1inch-1inch,33.57
2024-02-01,frax-frax,0.46
2024-02-01,hot-holo,44.8
2024-02-01,core-core-dao,36.41
2024-02-01,rpl-rocket-pool,8.54
2024-02-01,ocean-ocean-protocol,103.4
2024-02-01,twt-trust-wallet-token,26.15
2024-02-01,celo-celo,61.66
2024-02-01,stsol-lido-staked-sol,30.12
2024-02-01,gmt-stepn,23.21
2024-02-01,iotx-iotex,45.29
2024-02-01,btg-bitcoin-gold,15.63
2024-02-01,metis-metis-token,45.79
2024-02-01,orbr-orbler,58.1
2024-02-01,sc-siacoin,8.11
2024-02-01,nft-apenft,21.64
2024-02-01,gmx-gmx,18.62
2024-02-01,luna-terra-v2,17.05
2024-02-01,alt-altlayer,34.62
2024-02-01,xdc-xdc-network,-5.72
2024-02-01,gt-gatechain-token,6.63
2024-02-01,ftn-fasttoken,15.36
2024-02-01,gas-gas,12.43
2024-02-01,zil-zilliqa,37.4
2024-02-01,cspr-casper-network,13.95
2024-02-01,xaut-tether-gold,-0.17
2024-02-01,zec-zcash,28.5
2024-02-01,kuji-kujira,45.1
2024-02-01,trac-origintrail,57.68
2024-02-01,bat-basic-attention-token,26.29
2024-02-01,radix-dlt,8.41
2024-02-01,elf-aelf,18.64
2024-02-01,tfuel-theta-fuel,73.49
2024-02-01,cvx-convex-finance,73.88
2024-02-01,mask-mask-network,34.51
2024-02-01,ilv-illuvium,55.54
2024-02-01,ksm-kusama,28.75
2024-02-01,lpt-livepeer,90.76
2024-02-01,meme-memecoin,43.07
2024-02-01,lrc-loopring,23.64
2024-02-01,rlb-rollbit-coin,-11.34
2024-02-01,dash-dash,17.43
2024-02-01,glmr-moonbeam,32.37
2024-02-01,qtum-qtum,27.37
2024-02-01,xem-nem,16.48
2024-02-01,xch-chia-,29.28
2024-02-01,strd-stride,16.97
2024-02-01,prime-echelon-prime,82.06
2024-02-01,ethw-ethereum-pow,23.1
2024-02-01,paxg-pax-gold,-1.58
2024-02-01,kda-kadena,31.36
2024-02-01,glm-golem,80.62
2024-02-01,rvn-ravencoin,43.22
2024-02-01,dydx-dydx,24.86
2024-02-01,pokt-pocket-network,-8.9
2024-02-01,sushi-sushi,43.93
2024-02-01,xai-xai-games,68.28
2024-02-01,ant-aragon,45.11
2024-02-01,okt-okc-token,22.79
2024-02-01,audio-audius,54.63
2024-02-01,one-harmony,72.85
2024-02-01,zrx-0x,18.98
2024-02-01,vtho-vethor-token,101.67
2024-02-01,dcr-decred,33.45
2024-02-01,uma-uma,-7.56
2024-02-01,jst-just,22.85
2024-02-01,deso-decentralized-social,5.62
2024-02-01,ust-terrausd,46.7
